DOM,SQFT,BEDS,BATHS,AGE,zip_cluster
897,1368,2,2.0,3,2474.0
658,1850,2,2.5,5,2124.0
467,1469,2,1.0,38,2184.0
565,2945,2,2.5,4,1949.0
56,2536,3,2.5,3,2139.0
310,2687,3,2.5,3,1867.0
246,940,2,1.0,0,1581.0
221,1449,3,1.5,30,1581.0
435,612,1,1.0,4,2116.0
28,1069,2,1.5,3,2210.0
30,827,1,1.0,3,2140.0
649,943,2,2.0,35,2472.0
346,1672,2,2.5,30,2116.0
152,987,2,1.0,34,2155.0
405,768,1,1.0,46,2019.0
31,2175,2,2.5,3,2135.0
138,2305,2,2.5,3,1604.0
291,1899,2,2.5,4,2467.0
30,1789,2,2.5,3,2127.0
359,975,2,1.5,31,2129.0
233,1920,3,2.0,6,1902.0
294,763,1,1.0,30,2375.0
338,830,2,1.0,98,1545.0
70,1720,2,2.0,3,1960.0
175,537,1,1.0,33,1915.0
24,1720,2,2.0,3,2127.0
278,726,2,1.5,55,1915.0
264,870,2,1.0,48,1854.0
291,1385,2,2.0,143,1915.0
206,2214,2,2.5,19,2459.0
18,1500,4,1.5,3,1960.0
97,1480,2,2.0,3,2141.0
97,1480,2,2.0,3,2110.0
93,1480,2,2.0,3,2131.0
97,1480,2,2.0,3,1532.0
107,1480,2,2.0,3,2460.0
169,1476,3,1.5,13,1536.0
210,3563,3,3.5,32,2472.0
110,1056,2,2.0,11,1852.0
50,592,2,1.0,119,2038.0
69,464,1,1.0,116,2673.0
152,631,1,1.0,2,2171.0
156,1773,3,2.0,13,2150.0
40,1936,2,2.5,19,2129.0
78,1450,2,1.5,32,1749.0
69,1032,2,1.5,31,2130.0
49,1563,2,2.0,12,2081.0
54,1004,2,2.0,3,1832.0
64,2825,2,2.5,3,1863.0
47,1540,3,2.5,118,1852.0
57,1249,2,1.5,33,1569.0
62,1180,2,1.5,3,2061.0
116,649,2,1.0,68,2127.0
99,630,1,1.0,56,2061.0
41,1228,2,2.0,5,2134.0
67,3420,4,3.0,2,2453.0
71,2657,3,3.0,20,1890.0
36,1070,1,2.0,31,2145.0
102,802,2,1.0,65,2445.0
50,1394,2,1.5,31,1826.0
27,2526,3,2.5,11,2128.0
47,2300,4,3.5,6,1721.0
34,1800,2,2.5,3,2459.0
93,540,1,1.0,31,2780.0
106,1565,2,2.5,14,2119.0
53,1932,3,2.5,5,1960.0
52,1202,2,2.0,12,2045.0
6,731,2,1.0,39,1550.0
64,3472,4,3.5,19,1863.0
99,1155,2,2.0,31,1826.0
72,1710,2,2.5,32,2128.0
28,3268,6,2.5,93,1879.0
76,1465,2,2.0,119,1970.0
87,1295,2,2.0,52,2673.0
